4date, time, error_type, function
2021/09/01, 22:05:39, already_in_channel, invite_action
2021/09/02, 04:20:41, already_in_channel, invite_action
2021/09/06, 01:22:16+09:00:00, invalid_arguments, command_execution
2021/09/08, 05:20:09+09:00:00, invalid_arguments, command_execution
2021/09/08, 05:20:09+09:00:00, invalid_arguments, command_execution
2021/09/09, 08:38:54+09:00:00, invalid_arguments, command_execution
2021/09/09, 08:38:54+09:00:00, invalid_arguments, command_execution
2021/09/09, 08:38:54+09:00:00, invalid_arguments, command_execution
2021/09/09, 17:26:23+09:00:00, hash_conflict, function_selected
2021/09/09, 17:26:23+09:00:00, hash_conflict, function_selected
2021/09/09, 17:26:23+09:00:00, hash_conflict, function_selected
2021/09/09, 18:09:01+09:00:00, invalid_arguments, command_execution
2021/09/10, 11:45:04+09:00:00, invalid_arguments, command_execution
2021/09/10, 12:22:30+09:00:00, invalid_arguments, command_execution
2021/09/10, 12:22:30+09:00:00, invalid_arguments, command_execution
2021/09/13, 13:02:00, already_in_channel, invite_action
2021/09/17, 01:54:09, already_in_channel, invite_action
2021/09/17, 01:55:32, already_in_channel, invite_action
2021/09/17, 08:27:59+09:00:00, invalid_arguments, command_execution
2021/09/29, 08:14:24+09:00:00, invalid_arguments, command_execution
2021/12/29, 12:09:25+09:00:00, expired_trigger_id, command_execution
2021/12/29, 12:28:07+09:00:00, expired_trigger_id, command_execution
2021/12/29, 12:28:07+09:00:00, expired_trigger_id, command_execution
2021/12/29, 13:19:23, already_in_channel, invite_action
2021/12/29, 13:19:23, already_in_channel, invite_action
2021/12/29, 13:19:23, already_in_channel, invite_action
2021/12/29, 13:19:23, already_in_channel, invite_action
2021/12/29, 13:19:31, already_in_channel, invite_action
2021/12/29, 13:19:35, already_in_channel, invite_action
2021/12/29, 16:34:57, already_in_channel, invite_action
2021/12/29, 16:34:57, already_in_channel, invite_action
2021/12/30, 00:32:59, already_in_channel, invite_action
2021/12/30, 00:32:59, already_in_channel, invite_action
2021/12/30, 02:00:56, already_in_channel, invite_action
2021/12/30, 02:00:56, already_in_channel, invite_action
2021/12/30, 02:00:56, already_in_channel, invite_action
2021/12/30, 02:00:56, already_in_channel, invite_action
2021/12/30, 02:01:17, already_in_channel, invite_action
2021/12/30, 02:01:25, already_in_channel, invite_action
2022/01/07, 01:41:58+09:00:00, expired_trigger_id, command_execution
2022/01/07, 01:49:23, not_in_channel, invite_action
2022/01/07, 01:49:23, not_in_channel, invite_action
2022/01/07, 01:49:26, not_in_channel, invite_action
2022/01/07, 01:49:30, not_in_channel, invite_action
2022/01/07, 01:49:35, not_in_channel, invite_action
2022/01/07, 01:49:37, not_in_channel, invite_action
2022/01/07, 01:50:45, not_in_channel, invite_action
2022/01/07, 01:50:46, not_in_channel, invite_action
2022/01/07, 01:50:47, not_in_channel, invite_action
2022/01/07, 01:50:48, not_in_channel, invite_action
2022/01/07, 01:50:49, not_in_channel, invite_action
2022/01/07, 01:50:53, not_in_channel, invite_action
2022/01/07, 01:50:56, not_in_channel, invite_action
2022/01/07, 01:51:07, not_in_channel, invite_action
2022/01/07, 01:51:38+09:00:00, not_in_channel, make
2022/01/07, 01:51:38, not_in_channel, invite_action
2022/01/07, 01:51:45+09:00:00, not_in_channel, make
2022/01/07, 01:56:10, not_in_channel, invite_action
2022/01/07, 02:01:03, not_in_channel, invite_action
2022/01/07, 02:01:19, not_in_channel, invite_action
2022/01/07, 02:20:05, not_in_channel, invite_action
2022/01/07, 09:36:27, not_in_channel, invite_action
2022/01/09, 12:30:35, already_in_channel, invite_action
2022/01/09, 12:30:35, already_in_channel, invite_action
2022/01/09, 15:53:41, not_in_channel, invite_action
2022/01/10, 06:39:08+09:00:00, expired_trigger_id, command_execution
2022/01/10, 12:41:01, already_in_channel, invite_action
2022/01/10, 12:41:01, already_in_channel, invite_action
2022/01/11, 01:58:22, not_in_channel, invite_action
2022/01/11, 01:58:22, not_in_channel, invite_action
2022/01/13, 06:06:27, not_in_channel, invite_action
2022/01/13, 06:10:05, not_in_channel, invite_action
2022/01/13, 06:32:51, already_in_channel, invite_action
2022/01/14, 02:50:37, not_in_channel, invite_action
2022/01/18, 01:34:53+09:00:00, expired_trigger_id, command_execution
2022/01/18, 01:34:53+09:00:00, expired_trigger_id, command_execution
2022/01/18, 01:37:08+09:00:00, not_in_channel, make
2022/01/18, 01:37:14+09:00:00, not_in_channel, make
2022/01/18, 01:37:19+09:00:00, not_in_channel, make
2022/01/18, 01:37:25+09:00:00, not_in_channel, make
2022/01/18, 01:38:02+09:00:00, not_in_channel, make
2022/01/18, 01:38:05+09:00:00, not_in_channel, make
2022/01/18, 01:38:13+09:00:00, not_in_channel, make
2022/01/18, 01:38:17+09:00:00, not_in_channel, make
2022/01/18, 01:38:45+09:00:00, not_in_channel, make
2022/01/18, 01:38:51+09:00:00, not_in_channel, make
2022/01/18, 01:40:14+09:00:00, not_in_channel, make
2022/01/18, 01:40:21+09:00:00, not_in_channel, make
2022/01/18, 01:40:23+09:00:00, not_in_channel, make
2022/01/18, 01:40:24+09:00:00, not_in_channel, make
2022/01/18, 01:40:25+09:00:00, not_in_channel, make
2022/01/18, 01:40:26+09:00:00, not_in_channel, make
2022/01/18, 01:40:27+09:00:00, not_in_channel, make
2022/01/18, 01:40:37+09:00:00, not_in_channel, make
2022/01/18, 01:40:48+09:00:00, not_in_channel, make
2022/01/18, 01:40:49+09:00:00, not_in_channel, make
2022/01/18, 01:40:51+09:00:00, not_in_channel, make
2022/01/18, 01:47:06, already_in_channel, invite_action
2022/01/18, 01:47:08, already_in_channel, invite_action
2022/01/18, 01:48:22, already_in_channel, invite_action
2022/01/18, 01:48:31, already_in_channel, invite_action
2022/01/18, 01:49:21, already_in_channel, invite_action
2022/01/18, 01:50:00, already_in_channel, invite_action
2022/01/18, 01:50:52, already_in_channel, invite_action
2022/01/18, 01:50:58, already_in_channel, invite_action
2022/01/18, 01:55:50+09:00:00, channel_not_found, kick
2022/01/18, 01:55:55+09:00:00, channel_not_found, kick
2022/01/18, 01:56:01+09:00:00, channel_not_found, kick
2022/01/18, 01:56:02+09:00:00, channel_not_found, kick
2022/01/18, 02:06:17, already_in_channel, invite_action
2022/01/18, 02:10:14, already_in_channel, invite_action
2022/01/18, 02:26:31, already_in_channel, invite_action
2022/01/18, 02:27:18, already_in_channel, invite_action
2022/01/18, 02:27:20, already_in_channel, invite_action
2022/01/18, 02:27:22, already_in_channel, invite_action
2022/01/18, 02:33:57, already_in_channel, invite_action
2022/01/18, 02:34:01, already_in_channel, invite_action
2022/01/18, 02:37:56, already_in_channel, invite_action
2022/01/18, 02:38:05, already_in_channel, invite_action
2022/01/18, 02:38:06, already_in_channel, invite_action
2022/01/18, 02:38:22, already_in_channel, invite_action
2022/01/18, 02:38:25, already_in_channel, invite_action
2022/01/18, 02:38:30, already_in_channel, invite_action
2022/01/18, 02:38:41, already_in_channel, invite_action
2022/01/18, 02:38:42, already_in_channel, invite_action
2022/01/18, 02:38:44, already_in_channel, invite_action
2022/01/18, 02:38:45, already_in_channel, invite_action
2022/01/18, 02:38:46, already_in_channel, invite_action
2022/01/18, 02:38:47, already_in_channel, invite_action
2022/01/18, 02:38:48, already_in_channel, invite_action
2022/01/18, 02:38:49, already_in_channel, invite_action
2022/01/18, 02:38:50, already_in_channel, invite_action
2022/01/18, 02:38:56, already_in_channel, invite_action
2022/01/18, 02:38:57, already_in_channel, invite_action
2022/01/18, 02:38:57, already_in_channel, invite_action
2022/01/18, 02:38:58, already_in_channel, invite_action
2022/01/18, 02:39:03, already_in_channel, invite_action
2022/01/18, 02:39:47, already_in_channel, invite_action
2022/01/18, 02:42:57, already_in_channel, invite_action
2022/01/18, 02:43:00, already_in_channel, invite_action
2022/01/18, 02:43:16, already_in_channel, invite_action
2022/01/18, 03:00:15, already_in_channel, invite_action
2022/01/18, 03:00:19, already_in_channel, invite_action
2022/01/18, 03:25:47, already_in_channel, invite_action
2022/01/18, 03:26:14, already_in_channel, invite_action
2022/01/18, 03:41:07, already_in_channel, invite_action
2022/01/18, 03:41:32, already_in_channel, invite_action
2022/01/18, 03:41:33, already_in_channel, invite_action
2022/01/18, 05:38:53, already_in_channel, invite_action
2022/01/18, 05:38:53, already_in_channel, invite_action
2022/01/18, 05:38:53, already_in_channel, invite_action
2022/01/18, 06:36:59, already_in_channel, invite_action
2022/01/18, 06:50:12, already_in_channel, invite_action
2022/01/18, 06:50:13, already_in_channel, invite_action
2022/01/18, 06:50:14, already_in_channel, invite_action
2022/01/18, 06:50:16, already_in_channel, invite_action
2022/01/18, 06:50:17, already_in_channel, invite_action
2022/01/18, 08:38:30, already_in_channel, invite_action
2022/01/18, 08:38:30, already_in_channel, invite_action
2022/01/18, 08:38:36, already_in_channel, invite_action
2022/01/18, 10:57:17, already_in_channel, invite_action
2022/01/18, 15:05:12, already_in_channel, invite_action
2022/01/18, 18:30:53, already_in_channel, invite_action
2022/01/19, 00:51:01, already_in_channel, invite_action
2022/01/19, 04:46:42, already_in_channel, invite_action
2022/01/19, 04:46:48, already_in_channel, invite_action
2022/01/19, 04:46:49, already_in_channel, invite_action
2022/01/19, 04:46:50, already_in_channel, invite_action
2022/01/19, 04:48:04, already_in_channel, invite_action
2022/01/20, 00:09:38, already_in_channel, invite_action
2022/01/20, 06:01:49, already_in_channel, invite_action
2022/01/29, 09:48:47, already_in_channel, invite_action
2022/01/29, 09:51:20, already_in_channel, invite_action
2022/01/29, 19:10:57, already_in_channel, invite_action
2022/01/30, 23:22:28, already_in_channel, invite_action
2022/01/30, 23:22:29, already_in_channel, invite_action
2022/01/30, 23:22:31, already_in_channel, invite_action
2022/01/30, 23:22:32, already_in_channel, invite_action
