date, time, channel, user, function
2021/09/06, 01:24:46+09:00:00, C02CC164P9C, W015NPKMPRQ, make_url
2021/09/06, 01:24:53+09:00:00, G01M0L66Y7P, W015NPKMPRQ, invite_action
2021/09/06, 05:26:42+09:00:00, G01M0L66Y7P, W015NPMUR6E, invite_action
2021/09/06, 09:19:40+09:00:00, G01M0L66Y7P, W015820BCJK, invite_action
2021/09/07, 11:47:27+09:00:00, G01M0L66Y7P, W015P0JNK9R, invite_action
2021/09/07, 11:47:27+09:00:00, G01M0L66Y7P, W015P0JNK9R, invite_action
2021/09/08, 05:21:47+09:00:00, G01797716SF, W015NPKMPRQ, update_conversation
2021/09/08, 23:34:30+09:00:00, G01M0L66Y7P, W015P0CLSQ3, invite_action
2021/09/09, 12:39:08+09:00:00, G01M0L66Y7P, W015P0CQQPM, invite_action
2021/09/11, 11:52:49+09:00:00, G01M0L66Y7P, W015NPS21GA, invite_action
2021/09/11, 19:01:31+09:00:00, G01M0L66Y7P, W015MCSF5FF, invite_action
2021/09/12, 06:56:33+09:00:00, G01M0L66Y7P, W016CJSMLCQ, invite_action
2021/09/12, 15:58:17+09:00:00, G01M0L66Y7P, W015MCGM0KX, invite_action
2021/09/12, 16:14:32+09:00:00, G01M0L66Y7P, W015G2C75T8, invite_action
2021/09/13, 01:22:49+09:00:00, G01M0L66Y7P, W01581ZJHHV, invite_action
2021/09/13, 05:46:45+09:00:00, G01M0L66Y7P, W015P0BQVMZ, invite_action
2021/09/13, 05:49:04+09:00:00, G01M0L66Y7P, W01581SJ7V5, invite_action
2021/09/13, 10:10:24+09:00:00, G01M0L66Y7P, W0161CLKM89, invite_action
2021/09/13, 13:01:46+09:00:00, G01M0L66Y7P, W0161CLKM89, invite_action
2021/09/13, 13:01:57+09:00:00, C023H9NR3CJ, W0161CLKM89, invite_action
2021/09/13, 14:48:23+09:00:00, G01M0L66Y7P, W015P0D364B, invite_action
2021/09/13, 14:48:23+09:00:00, G01M0L66Y7P, W015P0D364B, invite_action
2021/09/14, 02:40:44+09:00:00, G01M0L66Y7P, W015MCTC3V3, invite_action
2021/09/15, 01:32:37+09:00:00, G01M0L66Y7P, W015NPNLTPC, invite_action
2021/09/15, 07:03:57+09:00:00, G01M0L66Y7P, W015MCMJS9K, invite_action
2021/09/16, 01:37:19+09:00:00, G01M0L66Y7P, W0161CT3LN5, invite_action
2021/09/16, 05:44:55+09:00:00, G01M0L66Y7P, W015UV5GB36, invite_action
2021/09/16, 16:24:01+09:00:00, G01M0L66Y7P, W015G2AA3UN, invite_action
2021/09/16, 16:24:21+09:00:00, C023H9NR3CJ, W015G2AA3UN, invite_action
2021/09/16, 16:25:52+09:00:00, G01M0L66Y7P, W015G2AA3UN, invite_action
2021/09/17, 01:17:09+09:00:00, G01M0L66Y7P, W0161CRVBNV, invite_action
2021/09/17, 01:54:09+09:00:00, G01M0L66Y7P, W015G2AV0G6, invite_action
2021/09/17, 01:54:09+09:00:00, C023H9NR3CJ, W015G2AV0G6, invite_action
2021/09/17, 01:54:09+09:00:00, C023H9NR3CJ, W015G2AV0G6, invite_action
2021/09/17, 01:55:21+09:00:00, C023H9NR3CJ, W015G24EFLN, invite_action
2021/11/19, 01:45:48+09:00:00, G01M0L66Y7P, W0161CRVBNV, invite_action
2021/12/29, 12:28:20+09:00:00, C02CC164P9C, W015NPMUR6E, issue_url
2022/01/07, 01:48:54+09:00:00, C01M3H3E24B, W015P0B28V9, make
2022/01/07, 01:50:34+09:00:00, C01M3H3E24B, W015P0B28V9, make
